naics	x	y	C1	C2	C3
111110	1.5579556	3.2493743999999998	9	0	0
111120	1.5344254	3.2966792999999996	9	0	0
111130	1.4355236	3.2932339999999996	9	0	0
111140	1.8865458	3.0290785	9	0	0
111150	1.6136309	3.2392395	9	0	0
111160	1.7465122	3.02141	9	0	0
111199	2.0430813000000003	3.0593896000000003	9	0	0
111211	1.6057458	3.0923363999999998	9	0	0
111219	1.924605	3.0320075	9	0	0
111310	1.5311211	3.1940677	9	0	0
111320	1.7727073	2.9370306	9	0	0
111331	1.4534069	3.2347207	9	0	0
111332	1.9960752	3.0739330000000002	9	0	0
111333	1.514583	3.2642477000000003	9	0	0
111334	1.7937436000000002	2.9983366	9	0	0
111335	1.6247964	3.118449	9	0	0
111336	1.9175853999999999	2.972375	9	0	0
111339	1.8906642	2.9824846000000003	9	0	0
111411	1.566758	3.1362	9	0	0
111419	1.7653120999999998	3.3088727	9	0	2
111421	2.0668194	2.9834554	9	0	0
111422	2.4569674	3.1367054	9	0	1
111910	1.6561587	3.0201766	9	0	0
111920	1.511945	3.3270318999999997	9	0	0
111930	1.7945771000000001	3.0206873	9	0	0
111940	1.609376	3.3140987999999996	9	0	0
111991	1.6997508999999997	3.0214767000000005	9	0	0
111992	1.5542161	3.2408512000000003	9	0	0
111998	2.1090324000000003	3.0100112	9	0	0
112111	1.7697196	3.4306693	9	0	2
112112	1.8967414	3.3010642999999997	9	0	2
112120	2.1017382000000002	3.2481562999999998	9	0	2
112210	1.9573870999999998	3.2811660000000002	9	0	2
112310	1.8849883	3.5544605000000002	9	0	2
112320	1.9377918	3.4565074	9	0	2
112330	1.8585561999999998	3.4944602999999996	9	0	2
112340	2.0526686	3.442048	9	0	2
112390	2.1223587999999998	3.4227345000000002	9	0	2
112410	2.0755334	3.2689025000000003	9	0	2
112420	1.7182933	3.500339	9	0	2
112511	2.5543702	3.3409410000000004	9	0	1
112512	2.2997615000000002	3.6946843	9	0	4
112519	2.4471958	3.3003788	9	0	1
112910	1.6088583	3.4565214999999996	9	0	2
112920	2.140796	3.3174655	9	0	2
112930	1.986578	3.4946532	9	0	2
112990	2.227752	3.1587994	9	0	1
113110	2.5402331	2.7406907000000005	9	0	3
113210	2.4794197000000002	2.9237337	9	0	3
114111	2.5991838	3.3470730000000004	9	0	1
114112	2.3998663	3.6131315	9	0	4
114119	2.6596196	3.448029	9	0	1
114210	2.4885645	3.202124	9	0	1
115111	2.0892885	3.6506953	9	0	2
115112	2.3552625	2.9707197999999995	9	0	3
115113	1.9876953000000002	2.955295	9	0	0
115114	2.257124	3.3854608999999996	9	0	2
115115	2.2017384	3.0010705	9	0	0
115116	2.5256543	2.9325612000000003	9	0	3
115210	2.3482647	3.251677	9	0	1
115310	2.5631995	2.8294144	9	0	3
424520	2.5003507000000003	3.6094358	9	0	4
424930	3.0527186	3.3100092000000005	9	0	1
453110	3.272	3.4553754	9	0	1
453910	2.9234192	3.6022983	9	0	1
541940	2.7611465	3.479163	9	0	1
113310	3.1738267000000002	1.7563227	4	15	38
238170	4.270363	1.6857373	4	15	15
238350	4.123837	1.5907518999999999	4	15	15
321113	3.3063745000000004	1.6015517	4	15	38
321114	3.5573127	1.4045786	4	15	38
321211	3.4402397000000002	1.4747328000000002	4	15	38
321212	3.2612455000000002	1.5595735000000002	4	15	38
321213	3.7989187000000006	1.2602719	4	15	15
321214	3.2987862	1.6530366	4	15	38
321219	3.9237568	1.2378798	4	15	15
321911	4.0258484	1.465433	4	15	15
321912	3.8538826	1.3232708	4	15	15
321918	3.3483262000000003	1.6205578	4	15	38
321920	3.3375809999999997	1.5805243	4	15	38
321991	3.4332477999999997	1.7078026999999998	4	15	38
321992	3.4314132000000006	1.5598655000000001	4	15	38
